accuracy,precision,detection_rate,f1,far,model,mode,split
0.9372077229067624,0.9570905285190999,0.9440716562926977,0.9505365167680597,0.07494623655913979,cnn,binary,stratified
0.9296400504511497,0.9490699598565869,0.9403673903142553,0.9446986334797463,0.08935483870967742,lstm,binary,stratified
0.9393033860483166,0.9629134958844541,0.9412782753909215,0.9519729771226777,0.06419354838709677,cnn_lstm,binary,stratified
